Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Gerard,Spain,MF,Monaco,Free,2005
Riquelme,Argentina,AM,Villarreal,"€7,000,000",2005
Fábio Rochemback,Brazil,DM,Middlesbrough,"€1,500,000",2005
Sergio García,Spain,FW,Zaragoza,"€1,500,000",2005
Óscar López,Spain,DF,Betis,Free,2005
