Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Bronckhorst,Netherlands,DF,Feyenoord,0,2007
Saviola,Argentina,FW,Real Madrid,0,2007
Giuly,France,FW,Roma,3.2,2007
Rubén,Spain,GK,Racing Ferrol,0,2007
Maxi López,Argentina,FW,FC Moscow,2.0,2007
Belletti,Brazil,RB,Chelsea,5.5,2007
Thiago Motta,Brazil,MF,Atlético Madrid,3.0,2007
