Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Víctor Valdés,Spain,GK,Manchester United,Free,2014
Cesc Fàbregas,Spain,MF,Chelsea,€33M,2014
Jonathan dos Santos,Mexico,MF,Villarreal,€1.5M,2014
Isaac Cuenca,Spain,FW,Deportivo La Coruña,Free,2014
Alexis Sánchez,Chile,FW,Arsenal,€42.5M,2014
Oier,Spain,GK,Granada,Free,2014
Keirrison,Brazil,FW,Coritiba,Free,2014
Bojan,Spain,FW,Stoke City,€1.8M,2014
