Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Sandro Ramírez,Spain,FW,Málaga,Free,2016
Dani Alves,Brazil,DF,Juventus,Free,2016
Marc Bartra,Spain,CB,Borussia Dortmund,€8M,2016
Alen Halilović,Croatia,MF,Hamburg,€5M,2016
Adriano,Brazil,DF,Beşiktaş,€0.6M,2016
Martín Montoya,Spain,DF,Valencia,Free,2016
Alex Song,Cameroon,MF,Rubin Kazan,Free,2016
Claudio Bravo,Chile,GK,Manchester City,€18M+€2M variables,2016
