Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Cocu,Netherlands,MF,PSV,Free,2004
Kluivert,Netherlands,FW,Newcastle United,Free,2004
Reiziger,Netherlands,DF,Middlesbrough,Free,2004
Luis García,Spain,MF,Liverpool,€8.75M,2004
Quaresma,Portugal,MF,Porto,€6M,2004
Enke,Germany,GK,Hannover 96,Free,2004
Sergio García,Spain,FW,Levante,Free,2004
