Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Rafael Márquez,Mexico,DF,New York Red Bulls,Free,2010
Thierry Henry,France,FW,New York Red Bulls,Free,2010
Dmytro Chygrynskiy,Ukraine,DF,Shakhtar Donetsk,€15M,2010
Touré Yaya,Ivory Coast,MF,Manchester City,€28.5M,2010
Zlatan Ibrahimović,Sweden,FW,Milan,€24M,2010
