Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Xavi,Spain,MF,Al-Sadd,0,2015
Gerard Deulofeu,Spain,FW,Everton,6.0,2015
Ibrahim Afellay,Netherlands,FW,Stoke City,0,2015
Pedro,Spain,FW,Chelsea,30.0,2015
Denis Suárez,Spain,MF,Villarreal,4.0,2015
Adama Traoré,Spain,FW,Aston Villa,12.0,2015
