Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Enke,Germany,GK,Benfica,Free,2002
Riquelme,Argentina,MF,Boca Juniors,€10.0M,2002
Mendieta,Spain,MF,Lazio,€1.5M,2002
