Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Ibrahimović,Sweden,FW,Internazionale,46.0,2009
Maxwell,Brazil,LB,Internazionale,5.0,2009
Keirrison,Brazil,FW,Palmeiras,16.0,2009
Chygrynskiy,Ukraine,DF,Shakhtar Donetsk,25.0,2009
Pedro,Spain,FW,Barcelona B,0.0,2009
Jeffrén,Spain,FW,Barcelona B,0.0,2009
