Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Marlon Santos,Brazil,DF,Fluminense,€5M,2017
Gerard Deulofeu,Spain,FW,Everton,€12M,2017
Nélson Semedo,Portugal,DF,Benfica,€30M[a],2017
Paulinho,Brazil,MF,Guangzhou Evergrande,€40M,2017
Ousmane Dembélé,France,FW,Borussia Dortmund,€105M+€40M,2017
Philippe Coutinho,Brazil,MF,Liverpool,€120M+€40M,2017
Yerry Mina,Colombia,DF,Palmeiras,€11.8M,2017
