Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Martín Cáceres,Uruguay,DF,Sevilla,€3M,2011
Víctor Sánchez,Spain,MF,Neuchâtel Xamax,Free,2011
Bojan,Spain,FW,Roma,€12M,2011
Jeffrén,Venezuela,FW,Sporting CP,€3.75M,2011
Gabriel Milito,Argentina,CB,Independiente,Free,2011
Maxwell,Brazil,LWB,Paris Saint-Germain,€4M,2011
Alexander Hleb,Belarus,MF,Krylia Sovetov Samara,Free,2011
