Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Marc-André ter Stegen,Germany,GK,Mönchengladbach,€12M,2014
Ivan Rakitić,Croatia,MF,Sevilla,€18M+Suárez loan,2014
Claudio Bravo,Chile,GK,Real Sociedad,€12M,2014
Luis Suárez,Uruguay,FW,Liverpool,€81.25M,2014
Jérémy Mathieu,France,DF,Valencia,€20M,2014
Thomas Vermaelen,Belgium,DF,Arsenal,€18M,2014
Douglas,Brazil,RB,São Paulo,€4M,2014
