Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Aleix Vidal,Spain,DF,Sevilla,€18M+4M variables,2015
Arda Turan,Turkey,MF,Atlético Madrid,€34M+7M variables,2015
