Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Overmars,Netherlands,MF,Arsenal,€40M,2000
Petit,France,MF,Arsenal,€14M,2000
Dutruel,France,GK,Celta de Vigo,€4M,2000
Alfonso,Spain,FW,Betis,€16.5M,2000
Gerard,Spain,MF,Valencia,€22M,2000
Pepe Reina,Spain,GK,Youth system,Free,2000
Gabri,Spain,MF,Youth system,Free,2000
