Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
 Frenkie de Jong,Netherlands,MF,Ajax,€75.0M,2019
 Emerson,Brazil,DF,Atlético Mineiro,€12.0M,2019
 Neto,Spain,GK,Valencia,€26.0M,2019
 Antoine Griezmann,Spain,FW,Atletico Madrid,€120.0M,2019
 Marc Cucurella,Spain,DF,Eibar,€4.0M,2019
 Junior Firpo,Spain,DF,Real Betis,€18.0M,2019
 Martin Braithwaite,Spain,FW,Leganés,€18.0M,2019
