Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Keita,Mali,MF,Sevilla,€14M,2008
Piqué,Spain,DF,Manchester United,€5M,2008
Pinto,Spain,GK,Celta de Vigo,€0.5M,2008
Cáceres,Uruguay,DF,Villarreal,€16.5M,2008
Alves,Brazil,DF,Sevilla,€29M + €6M in variables,2008
Hleb,Belarus,MF,Arsenal,€11.8M,2008
Henrique,Brazil,DF,Palmeiras,€8M + €2M in variables,2008
Busquets,Spain,MF,Barcelona B,Free,2008
