Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Denis Suárez,Spain,MF,Villarreal,€3.25M,2016
Samuel Umtiti,France,DF,Lyon,€25M,2016
Lucas Digne,France,DF,Paris Saint-Germain,€16.5M+€4Mvariables,2016
André Gomes,Portugal,MF,Valencia,€35M+€20Mvariables,2016
Jasper Cillessen,Netherlands,GK,Ajax,€13M+€2Mvariables,2016
Paco Alcácer,Spain,FW,Valencia,€30M+€2Mvariables,2016
