Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Zambrotta,Italy,DF,Juventus,€14M,2006
Thuram,France,DF,Juventus,€5M,2006
Gudjohnsen,Iceland,FW,Chelsea,€12m,2006
