Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Martín Cáceres,Uruguay,DF,Juventus,Free,2010
Alexander Hleb,Belarus,MF,VfB Stuttgart,Free,2010
Víctor Sánchez,Spain,MF,Xerez,Free,2010
Keirrison,Brazil,FW,Fiorentina,Free,2010
Henrique,Brazil,DF,Racing Santander,Free,2010
David Villa,Spain,FW,Valencia,€40M,2010
Javier Mascherano,Argentina,MF,Liverpool,€19M,2010
Adriano,Brazil,DF,Sevilla,€9.5M,2010
Ibrahim Afellay,Netherlands,MF,PSV,€3M,2010
Jeffrén,Venezuela,LW,Barcelona B,Free,2010
