Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Figo,Portugal,MF,Real Madrid,€60M,2000
De Boer,Netherlands,MF,Rangers,€5.5M,2000
Déhu,France,DF,Paris Saint-Germain,€3.4M,2000
Amunike,Nigeria,FW,Albacete,Free,2000
Bogarde,Netherlands,DF,Chelsea,Free,2000
Hesp,Netherlands,GK,Fortuna Sittard,Free,2000
