Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Henry,France,FW,Arsenal,€24M,2007
Touré Yaya,Ivory Coast,MF,Monaco,€9M,2007
Abidal,France,DF,Lyon,€15M,2007
Milito,Argentina,DF,Zaragoza,€17M +€3.5M in variables,2007
Giovani,Mexico,FW,Barcelona B,Youth system,2007
Bojan,Spain,FW,Barcelona B,Youth system,2007
Pinto,Spain,GK,Celta de Vigo,€0.5M,2007
