Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Albertini,Italy,MF,Atalanta,0,2004
Giuly,France,MF,Monaco,8.5,2004
Edmílson,Brazil,MF,Lyon,8.0,2004
Belletti,Brazil,DF,Villarreal,3.7,2004
Larsson,Sweden,FW,Celtic,0,2004
Deco,Portugal,MF,Porto,21.0,2004
Sylvinho,Brazil,DF,Celta de Vigo,2.0,2004
Eto'o,Cameroon,FW,Mallorca,24.0,2004
Albert Jorquera,Spain,GK,Barcelona B,0,2004
Damià,Spain,FW,Barcelona B,0,2004
Lionel Messi,Argentina,FW,Barcelona B,0,2004
