Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Rochemback,Brazil,MF,Internacional,€9M,2001
Andersson,Sweden,DF,Bayern Munich,€8M,2001
Saviola,Argentina,FW,River Plate,€35.9M,2001
Geovanni,Brazil,FW,Cruzeiro,€21M,2001
Christanval,France,DF,Monaco,€15M,2001
Bonano,Argentina,GK,River Plate,€1.2M,2001
