Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Jordi Masip,Spain,GK,Real Valladolid,0,2017
Cristian Tello,Spain,FW,Real Betis,5.0,2017
Jérémy Mathieu,France,DF,Sporting CP,0,2017
Neymar,Brazil,FW,Paris Saint-Germain,222.0,2017
Javier Mascherano,Argentina,DF,Hebei China Fortune,5.5,2017
