Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
 Andrés Iniesta,Japan,MF,Vissel Kobe,0.0,2018
 Gerard Deulofeu,England,FW,Watford,13.0,2018
 Lucas Digne,England,DF,Everton,20.2,2018
 Aleix Vidal,Spain,DF,Sevilla,8.5,2018
 Yerry Mina,England,DF,Everton,30.25,2018
 Marlon,Italy,DF,Sassuolo,6.0,2018
 Munir,Spain,FW,Sevilla,1.05,2018
 Paco Alcácer,Germany,FW,Borussia Dortmund,23.0,2018
 Sergi Samper,Japan,MF,Vissel Kobe,0.0,2018
