Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Edmílson,Brazil,DF,Villarreal,0,2008
Zambrotta,Italy,DF,Milan,11.0,2008
Dos Santos,Mexico,FW,Tottenham Hotspur,11.0,2008
Thuram,France,DF,Retired,0,2008
Ezquerro,Spain,FW,Osasuna,0,2008
Deco,Portugal,MF,Chelsea,10.0,2008
Ronaldinho,Brazil,FW,Milan,25.0,2008
Henrique,Brazil,DF,Bayer Leverkusen,0,2008
Oleguer,Spain,DF,Ajax,5.25,2008
Crosas,Spain,MF,Celtic,1.3,2008
