Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
Sylvinho,Brazil,LB,Manchester City,Free,2009
Eto'o,Cameroon,FW,Internazionale,Free,2009
Jorquera,Spain,GK,Girona,Free,2009
Guðjohnsen,Iceland,AM,Monaco,€2M,2009
