Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
 Arthur,Brazil,MF,Grêmio,31.0,2018
 Clément Lenglet,Spain,DF,Sevilla,35.9,2018
 Malcom,France,FW,Bordeaux,41.0,2018
 Jean-Clair Todibo,France,DF,Toulouse,1.0,2018
