Ime,Državljanstvo,Pozicija,Klub,Cena,Leto
van Bommel,Netherlands,MF,Bayern Munich,6.0,2006
Larsson,Sweden,FW,Helsingborgs IF,0.0,2006
Maxi López,Argentina,FW,Mallorca,0.0,2006
Damia,Spain,DF,Betis,1.0,2006
F. Navarro,Spain,DF,Mallorca,6.0,2006
Óscar López,Spain,DF,Betis,0.0,2006
Gabri,Spain,MF,Ajax,0.0,2006
Rüştü,Turkey,GK,Fenerbahçe,0.0,2006
Rodri,Spain,DF,Deportivo La Coruña,0.0,2006
