Ime,Državljanstvo,Pozicija,Klub,Cena
Albertini,Italy,MF,Atalanta,Free
Giuly,France,MF,Monaco,€8.5M
Edmílson,Brazil,MF,Lyon,€8M
Belletti,Brazil,DF,Villarreal,€3.7M
Larsson,Sweden,FW,Celtic,Free
Deco,Portugal,MF,Porto,€21m
Sylvinho,Brazil,DF,Celta de Vigo,€2M
Eto'o,Cameroon,FW,Mallorca,€24M
Albert Jorquera,Spain,GK,Barcelona B,Free
Damià,Spain,FW,Barcelona B,Free
Lionel Messi,Argentina,FW,Barcelona B,Free
