Ime,Državljanstvo,Pozicija,Klub,Cena
Keita,Mali,MF,Sevilla,€14M
Piqué,Spain,DF,Manchester United,€5M
Pinto,Spain,GK,Celta de Vigo,€0.5M
Cáceres,Uruguay,DF,Villarreal,€16.5M
Alves,Brazil,DF,Sevilla,€29M + €6M in variables
Hleb,Belarus,MF,Arsenal,€11.8M
Henrique,Brazil,DF,Palmeiras,€8M + €2M in variables
Busquets,Spain,MF,Barcelona B,Free
