Ime,Državljanstvo,Pozicija,Klub,Cena
Marlon Santos,Brazil,DF,Fluminense,€5M
Gerard Deulofeu,Spain,FW,Everton,€12M
Nélson Semedo,Portugal,DF,Benfica,€30M[a]
Paulinho,Brazil,MF,Guangzhou Evergrande,€40M
Ousmane Dembélé,France,FW,Borussia Dortmund,€105M+€40M
Philippe Coutinho,Brazil,MF,Liverpool,€120M+€40M
Yerry Mina,Colombia,DF,Palmeiras,€11.8M
