Ime,Državljanstvo,Pozicija,Klub,Cena
Marc-André ter Stegen,Germany,GK,Mönchengladbach,€12M
Ivan Rakitić,Croatia,MF,Sevilla,€18M+Suárez loan
Claudio Bravo,Chile,GK,Real Sociedad,€12M
Luis Suárez,Uruguay,FW,Liverpool,€81.25M
Jérémy Mathieu,France,DF,Valencia,€20M
Thomas Vermaelen,Belgium,DF,Arsenal,€18M
Douglas,Brazil,RB,São Paulo,€4M
