Ime,Državljanstvo,Pozicija,Klub,Cena
Ibrahimović,Sweden,FW,Internazionale,€46M+ Samuel Eto'o[22]
Maxwell,Brazil,LB,Internazionale,€4.5M+ €0.5M in variables
Keirrison,Brazil,FW,Palmeiras,€14M+ €2M in variables
Chygrynskiy,Ukraine,DF,Shakhtar Donetsk,€25M
Pedro,Spain,FW,Barcelona B,Free
Jeffrén,Spain,FW,Barcelona B,Free
