Ime,Državljanstvo,Pozicija,Klub,Cena
 Frenkie de Jong,Netherlands,MF,Ajax,€75.0M
 Emerson,Brazil,DF,Atlético Mineiro,€12.0M
 Neto,Spain,GK,Valencia,€26.0M
 Antoine Griezmann,Spain,FW,Atletico Madrid,€120.0M
 Marc Cucurella,Spain,DF,Eibar,€4.0M
 Junior Firpo,Spain,DF,Real Betis,€18.0M
 Martin Braithwaite,Spain,FW,Leganés,€18.0M
