Ime,Državljanstvo,Pozicija,Klub,Cena
Henry,France,FW,Arsenal,€24M
Touré Yaya,Ivory Coast,MF,Monaco,€9M
Abidal,France,DF,Lyon,€15M
Milito,Argentina,DF,Zaragoza,€17M +€3.5M in variables
Giovani,Mexico,FW,Barcelona B,Youth system
Bojan,Spain,FW,Barcelona B,Youth system
Pinto,Spain,GK,Celta de Vigo,€0.5M
