Ime,Državljanstvo,Pozicija,Klub,Cena
Overmars,Netherlands,MF,Arsenal,€40M
Petit,France,MF,Arsenal,€14M
Dutruel,France,GK,Celta de Vigo,€4M
Alfonso,Spain,FW,Betis,€16.5M
Gerard,Spain,MF,Valencia,€22M
Pepe Reina,Spain,GK,Youth system,Free
Gabri,Spain,MF,Youth system,Free
