Ime,Državljanstvo,Pozicija,Klub,Cena
Martín Cáceres,Uruguay,DF,Juventus,Free
Alexander Hleb,Belarus,MF,VfB Stuttgart,Free
Víctor Sánchez,Spain,MF,Xerez,Free
Keirrison,Brazil,FW,Fiorentina,Free
Henrique,Brazil,DF,Racing Santander,Free
David Villa,Spain,FW,Valencia,€40M
Javier Mascherano,Argentina,MF,Liverpool,€19M
Adriano,Brazil,DF,Sevilla,€9.5M
Ibrahim Afellay,Netherlands,MF,PSV,€3M
Jeffrén,Venezuela,LW,Barcelona B,Free
