Ime,Državljanstvo,Pozicija,Klub,Cena
Denis Suárez,Spain,MF,Villarreal,€3.25M
Samuel Umtiti,France,DF,Lyon,€25M
Lucas Digne,France,DF,Paris Saint-Germain,€16.5M+€4Mvariables
André Gomes,Portugal,MF,Valencia,€35M+€20Mvariables
Jasper Cillessen,Netherlands,GK,Ajax,€13M+€2Mvariables
Paco Alcácer,Spain,FW,Valencia,€30M+€2Mvariables
