Ime,Državljanstvo,Pozicija,Klub,Cena
Ronaldinho,Brazil,FW,Paris Saint-Germain,€27M
Ricardo Quaresma,Portugal,MF,Sporting CP,€16.25M
Rüştü,Turkey,GK,Fenerbahçe,Free
Márquez,Mexico,DF,Monaco,€5.25M
Davids,Netherlands,MF,Juventus,€2M
Andrés Iniesta,Spain,MF,Youth system,Free
Víctor Valdés,Spain,GK,Youth system,Free
Oleguer,Spain,DF,Youth system,Free
