Ime,Državljanstvo,Pozicija,Klub,Cena
Neymar,Brazil,FW,Santos,€57.1M
Sergi Roberto,Spain,MF,Barcelona B,Free
Oier Olazábal,Spain,GK,Barcelona B,Free
Rafinha,Brazil,CM,Barcelona B,Free
Gerard Deulofeu,Spain,FW,Barcelona B,Free
Bojan,Spain,FW,Roma,€13M
