Ime,Državljanstvo,Pozicija,Klub,Cena
Rochemback,Brazil,MF,Internacional,€9M
Andersson,Sweden,DF,Bayern Munich,€8M
Saviola,Argentina,FW,River Plate,€35.9M
Geovanni,Brazil,FW,Cruzeiro,€21M
Christanval,France,DF,Monaco,€15M
Bonano,Argentina,GK,River Plate,€1.2M
